especie	corrida	temp	PEL	veloc	acel	sexo	CRC	CC	BC
A_ameiva	1	33.4	1497	1.40E-01	9.27E+00	I	53	112	112
A_ameiva	1	33.4	1497	6.03E-01	1.21E+01	I	53	112	112
A_ameiva	1	33.4	1497	9.97E-01	1.26E+01	I	53	112	112
A_ameiva	1	33.4	1497	1.19E+00	1.27E+01	I	53	112	112
A_ameiva	1	33.4	1497	1.63E+00	9.34E+00	I	53	112	112
A_ameiva	1	33.4	1497	1.76E+00	6.95E+00	I	53	112	112
A_ameiva	1	33.4	1497	1.87E+00	7.34E+00	I	53	112	112
A_ameiva	1	33.4	1497	2.08E+00	8.11E+00	I	53	112	112
A_ameiva	1	33.4	1497	2.20E+00	3.77E+00	I	53	112	112
A_ameiva	1	33.4	1497	1.93E+00	1.02E+01	I	53	112	112
A_ameiva	1	33.4	1497	1.41E+00	1.28E+01	I	53	112	112
A_ameiva	1	33.4	1497	1.13E+00	1.29E+01	I	53	112	112
A_ameiva	1	33.4	1497	6.12E-01	1.38E+01	I	53	112	112
A_ameiva	1	33.4	1497	2.21E-01	9.10E+00	I	53	112	112
A_ameiva	1	33.4	1497	2.74E-01	2.85E+00	I	53	112	112
A_ameiva	1	33.4	1497	3.87E-02	4.35E+00	I	53	112	112
A_ameiva	1	33.4	1497	6.12E-02	1.17E+00	I	53	112	112
A_ameiva	1	33.4	1497	0.00E+00	1.48E+00	I	53	112	112
A_ameiva	1	33.4	1497	6.12E-02	5.23E-01	I	53	112	112
A_ameiva	1	33.4	1497	6.12E-02	9.64E-01	I	53	112	112
A_ameiva	1	33.4	1497	8.66E-02	1.36E+00	I	53	112	112
A_ameiva	1	33.4	1497	2.74E-02	1.26E+00	I	53	112	112
A_ameiva	1	33.4	1497	6.12E-02	9.64E-01	I	53	112	112
A_ameiva	1	33.4	1497	0.00E+00	6.63E-01	I	53	112	112
A_ameiva	1	33.4	1497	2.74E-02	1.50E+00	I	53	112	112
A_ameiva	1	33.4	1497	9.90E-02	5.24E-01	I	53	112	112
A_ameiva	1	33.4	1497	7.74E-02	3.14E+00	I	53	112	112
A_ameiva	1	33.4	1497	1.22E-01	1.08E+01	I	53	112	112
A_ameiva	1	33.4	1497	6.06E-01	1.49E+01	I	53	112	112
A_ameiva	1	33.4	1497	1.16E+00	1.28E+01	I	53	112	112
A_ameiva	2	33.4	1497	NA	NA	I	53	112	112
A_ameiva	2	33.4	1497	1.42E+00	NA	I	53	112	112
A_ameiva	2	33.4	1497	1.22E+00	8.85E+00	I	53	112	112
A_ameiva	2	33.4	1497	1.08E+00	7.60E+00	I	53	112	112
A_ameiva	2	33.4	1497	6.60E-01	9.74E+00	I	53	112	112
